物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値,家賃_円,面積_㎡_補正,坪数_補正,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,坪単価,事業成立パターン,不足理由,推奨カフェモデル,推定席数,原価率,人件費率,利益率,想定客単価,その他固定費,月間固定費,必要月商,必要日商_26日営業,必要月間客数,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資下限,初期投資上限,初期投資中央値,事業成立性スコア,評価点,評価ランク,評価コメント,ダッシュボード表示コメント,seongsu_rank,seongsu_fit_score,seongsu_fit_stars,seongsu_fit_type,ブランド順位,星評価,ブランド適合度,ブランドタイプ
二ツ橋ビル201,高松市上之町1丁目-13-18,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002627,取得済み,34.3209651,134.0447038,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
二ツ橋ビル202,高松市上之町1丁目-13-18,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002629,取得済み,34.3209651,134.0447038,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
新田借地【新田町】,高松市新田町甲-573-6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002633,未取得,,,,,,,,,郊外,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
ウッドネスト香西テナント101号室【香西北町】,高松市香西北町79-10,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002600,未取得,,,,,,,,,郊外,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
one apartment店舗102号【新北町】,高松市新北町-13-11,,,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002602,取得済み,34.3529843,134.0256404,,,,,,,不明,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,90.0,31.8,★☆☆☆☆,実装難度高,90.0,★☆☆☆☆,31.8,実装難度高
ＧＭ戸建【飯田町】,高松市飯田町-18-1,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002609,取得済み,34.3202048,134.0043584,,,,,,,郊外,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
ＳＫ店舗【屋島西町】,高松市屋島西町-1483-1,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002611,取得済み,34.3603444,134.0966033,,,,,,,郊外,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
チェリータウン103【桜町】テナント,高松市桜町2-15-46,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002594,未取得,,,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
ＳＺ店舗1棟貸【国分寺町福家】,高松市国分寺町福家-3871-8,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002574,取得済み,34.2790659,133.972223,,,,,,,郊外,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
エトワールビル1F【常磐町】,高松市常盤町1丁目-6-2,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002560,取得済み,34.3387776,134.0510854,,,,,,,不明,不明,店舗系,1階・路面想定,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
