物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値
宮脇町ビル 東,香川県高松市宮脇町１丁目,4.5万円,44.19㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67c006c873b679516875e115/,取得済み,34.3382366,134.0359162,4.5,44.19,
飲食店募集　ウイングポート　１Ｆ　２０．７３㎡ 1階一部,香川県高松市香川町大野,5万円,20.73㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6628b3b9d9cbec77c6d93594/,取得済み,34.2664945,134.0255298,5.0,20.73,
スモールショップ　２Ｆ北側入口西側 ２階一部,香川県高松市香川町大野,5万円,30.50㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68362b1196571f4ba1d7d943/,取得済み,34.2664945,134.0255298,5.0,30.5,
クイーンズスクエア第２ビル 5-C,香川県高松市瓦町１丁目,5万円,26.69㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f7b317/,取得済み,34.3412277,134.051584,5.0,26.69,
クイーンズスクエア第２ビル 3-B,香川県高松市瓦町１丁目,5.28万円,24.70㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-555b55d54249423b71542600/,取得済み,34.3412277,134.051584,5.28,24.7,
高松市 春日町 の貸店舗（一部）,香川県高松市春日町,5.5万円,38.30㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-64e2d04b3f7cf6132af9cfa9/,取得済み,34.3304601,134.0917088,5.5,38.3,
クイーンズスクエア第２ 7-B,香川県高松市瓦町１丁目,5.5万円,31.57㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,取得済み,34.3412277,134.051584,5.5,31.57,
クイーンズスクエアービル第２ 6-C,香川県高松市瓦町１丁目,5.5万円,29.55㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,取得済み,34.3412277,134.051584,5.5,29.55,
新井ビル 204,香川県高松市成合町,5.5万円,49.59㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5bf21f5ce5a69c7914b84609/,取得済み,34.2994211,134.0156685,5.5,49.59,
高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),香川県高松市今里町１丁目,6万円,37.50㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-653cce171dae78356cd1ee74/,取得済み,34.3257633,134.0570519,6.0,37.5,
高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,香川県高松市瓦町１丁目,6万円,30.51㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,取得済み,34.3412277,134.051584,6.0,30.51,
高松市 昭和町２丁目 (昭和町駅) の貸店舗・事務所(一部),香川県高松市昭和町２丁目,6万円,31.92㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6850eddb0113b875040064de/,取得済み,34.3430435,134.0313439,6.0,31.92,
高松市 花ノ宮町３丁目 (栗林公園駅) の貸店舗（一部）,香川県高松市花ノ宮町３丁目,6万円,19.52㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69e042035de080bdbee75f45/,取得済み,34.3246462,134.0457846,6.0,19.52,
高松市 東田町 (瓦町駅) の貸店舗・事務所(一部),香川県高松市東田町,6万円,50.00㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6052fa6fadffbc51ad7e043f/,取得済み,34.335862,134.0496573,6.0,50.0,
ソウゲンビル 5階,香川県高松市鍛冶屋町,6.05万円,31.60㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/,取得済み,34.3428604,134.0487343,6.05,31.6,
クイーンズスクエア第２ 5-B,香川県高松市瓦町１丁目,6.05万円,32.32㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f6b317/,取得済み,34.3412277,134.051584,6.05,32.32,
ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 ２０３,香川県高松市塩屋町,6.05万円,20.68㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-682559e2990e3375d4f1d836/,取得済み,34.342155,134.0550633,6.05,20.68,
松本ビル 1階,香川県高松市室新町,6.2万円,31.29㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69522eecc37dc1729e1f21f0/,取得済み,34.3267423,134.036633,6.2,31.29,
クリエイトビル 302,香川県高松市塩上町３丁目,6.6万円,46.06㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66f21d9b20276410821020d6/,取得済み,34.3388772,134.0573648,6.6,46.06,
高松市 花園町２丁目 (花園駅) の貸店舗（一部）,香川県高松市花園町２丁目,6.6万円,35.29㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-57bea8c1d032a747f63ded79/,取得済み,34.3336738,134.057008,6.6,35.29,
ＷＩＮＤ 202,香川県高松市古新町,6.6万円,24.63㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-670378fdb15c5738c792975c/,取得済み,34.345727,134.0478245,6.6,24.63,
高松市 屋島西町 (潟元駅) の貸店舗（一部）,香川県高松市屋島西町,6.6万円,64.53㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-674bc7812895ed45f90dfeb2/,取得済み,34.3603444,134.0966033,6.6,64.53,
高松市 香川町川東下 の貸店舗（一部）,香川県高松市香川町川東下,7万円,64.71㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66c6b7940b0aca787b54d3a7/,取得済み,34.2455044,134.0300841,7.0,64.71,
高松市 木太町 (林道駅) の貸店舗（一部）,香川県高松市木太町,7万円,56.10㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-685e07f1970a600a34bedb25/,取得済み,34.3318938,134.0800231,7.0,56.1,
高松市 花園町１丁目 (花園駅) の貸店舗（一部）,香川県高松市花園町１丁目,7万円,39.52㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5cc0ee5cd032a771437daaf9/,取得済み,34.3345829,134.0578551,7.0,39.52,
小林店舗 １階　東,香川県高松市古馬場町,7.15万円,18.90㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5fc8918dcab5463d5a2e7e1a/,取得済み,34.3425721,134.0518077,7.15,18.9,
ＷＩＮＤ 003,香川県高松市古新町,7.1874万円,24.00㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68bfbbd36240320783c534cc/,取得済み,34.345727,134.0478245,7.1874,24.0,
吉田ビル 1階,香川県高松市香川町川東上,7.7万円,34.75㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-65c9d71ddfbd573fa5601d7a/,取得済み,34.2277806,134.0376407,7.7,34.75,
ＡＫビル片原町Ⅱ　２階　北東 （２０１）,香川県高松市片原町,7.7万円,40.00㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-684fade320d8493430490ebe/,取得済み,34.3458826,134.0543651,7.7,40.0,
クイーンズスクエアービル第２ 7-A,香川県高松市瓦町１丁目,7.7万円,41.50㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5a5c0b969732ec2c56db5cf7/,取得済み,34.3412277,134.051584,7.7,41.5,
クイ－ンズスケア第一 1階C,香川県高松市瓦町２丁目,7.7万円,22.16㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68f074cf4c8c312b4b224e88/,取得済み,34.3399504,134.0514047,7.7,22.16,
新井ビル 200,香川県高松市成合町,7.7万円,66.54㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5bf219fbe5a69c28beb84613/,取得済み,34.2994211,134.0156685,7.7,66.54,
牟礼町牟礼　倉庫 2F,香川県高松市牟礼町牟礼,7.7万円,107.05㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-665a9a1cda59646e4add9922/,取得済み,34.3493325,134.133009,7.7,107.05,
香川町浅野貸店舗 1階店舗,香川県高松市香川町浅野,8万円,70.00㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-590a7804e5a69c3b10d8431f/,取得済み,34.2587691,134.0425443,8.0,70.0,
