物件名,所在地,掲載サイト,詳細URL,latitude,longitude,家賃,家賃_円,面積,面積_㎡_補正,坪数,坪数_補正,坪単価,飲食可否,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,事業成立パターン,不足理由,推奨カフェモデル,推定席数,想定客単価,月間固定費,必要月商,必要日商_26日営業,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資中央値,事業成立性スコア,評価ランク,評価コメント,ダッシュボード表示コメント
ウッドネスト香西テナント101号室【香西北町】,高松市香西北町79-10,テナント香川,https://www.tenantkagawa.com/article/search/00002600,,,,,,,,,,確認必要,郊外,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
one apartment店舗102号【新北町】,高松市新北町-13-11,テナント香川,https://www.tenantkagawa.com/article/search/00002602,34.3529843,134.0256404,,,,,,,,可,不明,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
ＧＭ戸建【飯田町】,高松市飯田町-18-1,テナント香川,https://www.tenantkagawa.com/article/search/00002609,34.3202048,134.0043584,,,,,,,,確認必要,郊外,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
ＳＫ店舗【屋島西町】,高松市屋島西町-1483-1,テナント香川,https://www.tenantkagawa.com/article/search/00002611,34.3603444,134.0966033,,,,,,,,確認必要,郊外,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
チェリータウン103【桜町】テナント,高松市桜町2-15-46,テナント香川,https://www.tenantkagawa.com/article/search/00002594,,,,,,,,,,確認必要,準中心街,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
ＳＺ店舗1棟貸【国分寺町福家】,高松市国分寺町福家-3871-8,テナント香川,https://www.tenantkagawa.com/article/search/00002574,34.2790659,133.972223,,,,,,,,確認必要,郊外,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
エトワールビル1F【常磐町】,高松市常盤町1丁目-6-2,テナント香川,https://www.tenantkagawa.com/article/search/00002560,34.3387776,134.0510854,,,,,,,,確認必要,不明,不明,店舗系,1階・路面想定,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
ＭＮ店舗1Ｆ【香川町川東】,高松市香川町川東上1764番地,テナント香川,https://www.tenantkagawa.com/article/search/00002548,,,,,,,,,,可,郊外,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
ルヴァン店舗1棟貸【高松町】,高松市高松町-466-1,テナント香川,https://www.tenantkagawa.com/article/search/00002532,34.3303413,134.1183614,,,,,,,,確認必要,郊外,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
ＲＩ事務所【香西本町】,高松市香西本町-365-1,テナント香川,https://www.tenantkagawa.com/article/search/00002519,34.3506114,134.0024708,,,,,,,,確認必要,郊外,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
