property_index,物件名,所在地,nearby_500m_count,nearby_1000m_count,nearest_competitor_name,nearest_competitor_distance_m
191,貸店舗（一部） クイ－ンズスケア第一 1階C,香川県高松市瓦町２丁目,9,14,南珈琲店,123.1
193,貸店舗（一部） ソリッド 4D,香川県高松市古馬場町,12,14,世界劇場,78.2
195,貸店舗（一部） ＡＫビル片原町Ⅱ　２階　北西 （２０２号）,香川県高松市片原町,6,14,くつわ堂 総本店,324.4
197,貸店舗（一部） 常盤町Ｋ店舗 2階,香川県高松市常磐町１丁目,7,14,三びきの子ぶた,51.4
198,貸店舗（一部） ツゥーフィートビル 5-B,香川県高松市鍛冶屋町,10,14,5デイズコーヒー,78.6
201,貸店舗（一部） 錦町１丁目　小川マンション１階店舗 1階,香川県高松市錦町１丁目,1,10,CAFE LOURDES,499.4
202,貸店舗（一部） シャトー古馬場　２階 2階,香川県高松市古馬場町,12,14,世界劇場,78.2
205,貸店舗（一部） じゃこ丸ビル ５階　南,香川県高松市西の丸町,5,11,CAFE LOURDES,303.7
206,貸店舗・事務所(一部) パールコート 1階,香川県高松市百間町,9,15,くつわ堂 総本店,215.4
207,貸店舗（一部） 高松市 百間町 (瓦町駅) の貸店舗（一部）,香川県高松市百間町,9,15,くつわ堂 総本店,215.4
209,貸店舗（一部） 高松市 鍛冶屋町 (瓦町駅) の貸店舗（一部）,香川県高松市鍛冶屋町,10,14,5デイズコーヒー,78.6
212,貸店舗（一部） カーラビル １F,香川県高松市瓦町２丁目,9,14,南珈琲店,123.1
213,貸店舗（一部） ソレイユ第一ビル 202,香川県高松市亀井町,9,14,南珈琲店,123.1
215,高松市 賃貸店舗・事務所,高松市百間町9-13,9,15,くつわ堂 総本店,215.4
