competitor_id,store_name,source,genre,address,lat,lng,rating,review_count,business_hours,closed_days,url,linked_site_name,linked_url,memo
GMP00011,雨やすみ,google_maps,カフェ・喫茶,香川県高松市錦町２丁目８−１４ 木村ビル 2F,,,4.5,29,営業開始: 10:30（金）,,https://www.google.com/maps/place/雨やすみ/data=!4m7!3m6!1s0x3553eb4af0d6e3c7:0x17fd77e20437db54!8m2!3d34.3467806!4d134.0427042!16s/g/11k4925syh!19sChIJx-PW8ErrUzURVNs3BOJ3_Rc?authuser=0&hl=ja&rclk=1,,,
GMP00012,KID COFFEE&WAFFLE,google_maps,コーヒーショップ・喫茶店,香川県高松市桜町１丁目１−８,,,4.6,55,営業開始: 12:00（金）,,https://www.google.com/maps/place/KID+COFFEE&WAFFLE/data=!4m7!3m6!1s0x3553eb0018e08445:0xd641b4ab3af9fbff!8m2!3d34.3320328!4d134.0525347!16s/g/11vwpflxxk!19sChIJRYTgGADrUzUR__v5Oqu0QdY?authuser=0&hl=ja&rclk=1,,,
GMP00013,CAFE Lululu,google_maps,カフェ・喫茶,香川県高松市高松町２４８７−１０,,,4.4,94,営業開始: 9:00,,https://www.google.com/maps/place/CAFE+Lululu/data=!4m7!3m6!1s0x35539349f4984643:0x91fb44a64b172c0b!8m2!3d34.3386867!4d134.1097975!16s/g/11pzkkzsrk!19sChIJQ0aY9EmTUzURCywXS6ZE-5E?authuser=0&hl=ja&rclk=1,,,
GMP00014,珈琲と本と音楽 半空,google_maps,カフェ・喫茶,香川県高松市瓦町１丁目１０−１８ 北原ビル 2F,,,4.3,316,営業中,,https://www.google.com/maps/place/珈琲と本と音楽+半空/data=!4m7!3m6!1s0x3553eb9afedd225d:0xc2544993b88f2663!8m2!3d34.3413035!4d134.0506567!16s/g/1hc1kz2q6!19sChIJXSLd_prrUzURYyaPuJNJVMI?authuser=0&hl=ja&rclk=1,,,
GMP00015,kissa kai,google_maps,コーヒーショップ・喫茶店,香川県高松市仏生山町甲８４４,,,4.2,92,営業開始: 11:00,,https://www.google.com/maps/place/kissa+kai/data=!4m7!3m6!1s0x3553c1fd5649ac63:0xbe206a7159a95d59!8m2!3d34.2829692!4d134.0425393!16s/g/11ns3d_js0!19sChIJY6xJVv3BUzURWV2pWXFqIL4?authuser=0&hl=ja&rclk=1,,,
GMP00016,Cafe SHION,google_maps,コーヒーショップ・喫茶店,香川県高松市古新町５−８,,,4.2,22,営業開始: 11:00,,https://www.google.com/maps/place/Cafe+SHION/data=!4m7!3m6!1s0x3553eb1222a70f2f:0x6fdd471ac6ee5945!8m2!3d34.3462469!4d134.0457961!16s/g/11swffwk_7!19sChIJLw-nIhLrUzURRVnuxhpH3W8?authuser=0&hl=ja&rclk=1,,,
GMP00017,SABI,google_maps,カフェ・喫茶,香川県高松市常磐町１丁目6−１３,,,4.7,151,営業開始: 10:00,,https://www.google.com/maps/place/SABI/data=!4m7!3m6!1s0x3553eb67859d075b:0xbe5001762a30a3fc!8m2!3d34.3385131!4d134.0498712!16s/g/11rwkw5rdc!19sChIJWwedhWfrUzUR_KMwKnYBUL4?authuser=0&hl=ja&rclk=1,,,
GMP00018,喫茶あかまる,google_maps,コーヒーショップ・喫茶店,香川県高松市伏石町１３０８−１６,,,4.7,7,営業開始: 11:00（金）,,https://www.google.com/maps/place/喫茶あかまる/data=!4m7!3m6!1s0x3553eb00628a33a5:0xc217525094825ce6!8m2!3d34.3181712!4d134.0535524!16s/g/11njbvs7th!19sChIJpTOKYgDrUzUR5lyClFBSF8I?authuser=0&hl=ja&rclk=1,,,
GMP00019,RET COFFEE,google_maps,コーヒーショップ・喫茶店,香川県高松市上之町３丁目９−３８,,,4.4,41,営業開始: 11:00（金）,,https://www.google.com/maps/place/RET+COFFEE/data=!4m7!3m6!1s0x3553eb7672af0c7f:0xcfd9a7107a0bb6d!8m2!3d34.3195284!4d134.0496338!16s/g/11j_6533v6!19sChIJfwyvcnbrUzURbbugB3Ga_Qw?authuser=0&hl=ja&rclk=1,,,
GMP00020,カトルカール,google_maps,カフェ・喫茶,香川県高松市林町２００７−１,,,4.1,216,営業開始: 11:00（金）,,https://www.google.com/maps/place/カトルカール/data=!4m7!3m6!1s0x3553eb1e7dd8dc8f:0xdf8f804c5eedb0a0!8m2!3d34.3087158!4d134.0725403!16s/g/1vr39_hr!19sChIJj9zYfR7rUzURoLDtXkyAj98?authuser=0&hl=ja&rclk=1,,,
GMP00021,喫茶 モンシェリー,google_maps,カフェ・喫茶,香川県高松市林町６−２５,,,4.3,37,営業開始: 8:00,,https://www.google.com/maps/place/喫茶+モンシェリー/data=!4m7!3m6!1s0x3553eb001f8817a5:0x2e5533bd71cabf22!8m2!3d34.2935452!4d134.0623252!16s/g/11vxg4wm0k!19sChIJpReIHwDrUzURIr_Kcb0zVS4?authuser=0&hl=ja&rclk=1,,,
GMP00022,Liberty Park Cafe（リバティパークカフェ）,google_maps,カフェ・喫茶,香川県高松市東山崎町１９４−４,,,4.1,42,営業開始: 9:00,,https://www.google.com/maps/place/Liberty+Park+Cafe（リバティパークカフェ）/data=!4m7!3m6!1s0x3553eb007a872c8d:0xde7c19e86f8f19dc!8m2!3d34.305394!4d134.0919237!16s/g/11yzvy43rf!19sChIJjSyHegDrUzUR3BmPb-gZfN4?authuser=0&hl=ja&rclk=1,,,
GMP00023,cafe ISOYA,google_maps,カフェ・喫茶,香川県高松市仏生山町甲８８４−２,,,4.8,5,営業開始: 7:30（土）,,https://www.google.com/maps/place/cafe+ISOYA/data=!4m7!3m6!1s0x3553c1a6b7e7ee0f:0xa71a29835154a6de!8m2!3d34.2808372!4d134.0403382!16s/g/11sr7vfwjr!19sChIJD-7nt6bBUzUR3qZUUYMpGqc?authuser=0&hl=ja&rclk=1,,,
GMP00024,PAUSA COFFEE.,google_maps,カフェ・喫茶,香川県高松市香西東町５７８−１,,,4.2,85,営業開始: 7:30（土）,,https://www.google.com/maps/place/PAUSA+COFFEE./data=!4m7!3m6!1s0x3553e911f30dd743:0x2c5b50067da1b1c7!8m2!3d34.3448822!4d134.0087199!16s/g/11tg8mp9jt!19sChIJQ9cN8xHpUzURx7GhfQZQWyw?authuser=0&hl=ja&rclk=1,,,
GMP00025,Cafe cocoru,google_maps,カフェ・喫茶,香川県高松市紙町５３８−３,,,4.0,1,営業開始: 10:30（金）,,https://www.google.com/maps/place/Cafe+cocoru/data=!4m7!3m6!1s0x3553eb000be5c88b:0xa6a91fcdb23f64a!8m2!3d34.3168085!4d134.0295838!16s/g/11n3__83qb!19sChIJi8jlCwDrUzURSvYj2_yRago?authuser=0&hl=ja&rclk=1,,,
GMP00026,珈琲焙煎カフェ 茶舎,google_maps,コーヒー焙煎所,香川県高松市三谷町１８２９,,,4.1,35,営業開始: 9:00,,https://www.google.com/maps/place/珈琲焙煎カフェ+茶舎/data=!4m7!3m6!1s0x3553c1a5e60d3405:0x3512e812f479c8d!8m2!3d34.2775174!4d134.0595872!16s/g/1tkb2yhl!19sChIJBTQN5qXBUzURjZxHL4EuUQM?authuser=0&hl=ja&rclk=1,,,
