article_id,name,detail_url,page_no,source_site,list_text
57bea8c1d032a747f63ded79,高松市 花園町２丁目 (花園駅) の貸店舗（一部）,https://www.takamatsuhousing.jp/kasi-tenpo/detail-57bea8c1d032a747f63ded79/,1,takamatsu_housing,高松市 花園町２丁目 (花園駅) の貸店舗（一部） 高松琴平電鉄長尾線 / 花園駅 [バス利用可] バス 市総合福祉会館前 停歩4分 高松市花園町２丁目 徒歩6分 6.6 万円 - 3ヶ月/ なし/ なし 35.29㎡ 10.67坪／0.6183万円 貸店舗（一部） 1979年10月(築46年9ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
670378fdb15c5738c792975c,ＷＩＮＤ 202,https://www.takamatsuhousing.jp/kasi-tenpo/detail-670378fdb15c5738c792975c/,1,takamatsu_housing,"ＷＩＮＤ 202 高松琴平電鉄琴平線 / 片原町駅 高松市古新町 徒歩7分 6.6 万円 14,300円 1ヶ月/ なし/ なし 24.63㎡ 7.45坪／0.8859万円 貸店舗（一部） 1987年1月(築39年6ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
674bc7812895ed45f90dfeb2,高松市 屋島西町 (潟元駅) の貸店舗（一部）,https://www.takamatsuhousing.jp/kasi-tenpo/detail-674bc7812895ed45f90dfeb2/,2,takamatsu_housing,高松市 屋島西町 (潟元駅) の貸店舗（一部） 高松琴平電鉄志度線 / 潟元駅 高松市屋島西町 徒歩5分 6.6 万円 - 3ヶ月/ なし/ なし 64.53㎡ 19.52坪／0.3382万円 貸店舗（一部） 1988年7月(築38年) 物件詳細を見る お気に入り登録 お問い合わせをする
66c6b7940b0aca787b54d3a7,高松市 香川町川東下 の貸店舗（一部）,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66c6b7940b0aca787b54d3a7/,2,takamatsu_housing,高松市 香川町川東下 の貸店舗（一部） 仏生山駅 高松市香川町川東下 - 7 万円 - 2ヶ月/ なし/ なし 64.71㎡ 19.57坪／0.3577万円 貸店舗（一部） 1991年2月(築35年5ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
685e07f1970a600a34bedb25,高松市 木太町 (林道駅) の貸店舗（一部）,https://www.takamatsuhousing.jp/kasi-tenpo/detail-685e07f1970a600a34bedb25/,2,takamatsu_housing,"高松市 木太町 (林道駅) の貸店舗（一部） 高松琴平電鉄長尾線 / 林道駅 高松市木太町 徒歩2分 7 万円 2,000円 3ヶ月/ なし/ なし 56.10㎡ 16.97坪／0.4125万円 貸店舗（一部） 1966年10月(築59年9ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
5cc0ee5cd032a771437daaf9,高松市 花園町１丁目 (花園駅) の貸店舗（一部）,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5cc0ee5cd032a771437daaf9/,2,takamatsu_housing,"高松市 花園町１丁目 (花園駅) の貸店舗（一部） 高松琴平電鉄長尾線 / 花園駅 高松市花園町１丁目 徒歩4分 7 万円 10,000円 3ヶ月/ なし/ 1ヶ月 39.52㎡ 11.95坪／0.5856万円 貸店舗（一部） 1989年5月(築37年2ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
5fc8918dcab5463d5a2e7e1a,小林店舗 １階　東,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5fc8918dcab5463d5a2e7e1a/,2,takamatsu_housing,小林店舗 １階　東 高松琴平電鉄志度線 / 瓦町駅 高松市古馬場町 徒歩7分 7.15 万円 - 6ヶ月/ なし/ 1ヶ月 18.90㎡ 5.71坪／1.2507万円 貸店舗（一部） 1956年1月(築70年6ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
68bfbbd36240320783c534cc,ＷＩＮＤ 003,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68bfbbd36240320783c534cc/,2,takamatsu_housing,"ＷＩＮＤ 003 高松琴平電鉄琴平線 / 片原町駅 高松市古新町 徒歩7分 7.1874 万円 11,979円 1ヶ月/ なし/ なし 24.00㎡ 7.25坪／0.9901万円 貸店舗（一部） 1987年1月(築39年6ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
65c9d71ddfbd573fa5601d7a,吉田ビル 1階,https://www.takamatsuhousing.jp/kasi-tenpo/detail-65c9d71ddfbd573fa5601d7a/,2,takamatsu_housing,吉田ビル 1階 高松琴平電鉄琴平線 / 空港通り駅 高松市香川町川東上 徒歩70分 7.7 万円 - 3ヶ月/ なし/ なし 34.75㎡ 10.51坪／0.7326万円 貸店舗（一部） 1973年7月(築53年) 物件詳細を見る お気に入り登録 お問い合わせをする
684fade320d8493430490ebe,ＡＫビル片原町Ⅱ　２階　北東 （２０１）,https://www.takamatsuhousing.jp/kasi-tenpo/detail-684fade320d8493430490ebe/,2,takamatsu_housing,"ＡＫビル片原町Ⅱ　２階　北東 （２０１） 高松琴平電鉄琴平線 / 片原町駅 高松市片原町 徒歩2分 7.7 万円 13,200円 6ヶ月/ なし/ なし 40.00㎡ 12.09坪／0.6364万円 貸店舗（一部） 1979年6月(築47年1ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
