物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値,家賃_円,面積_㎡_補正,坪数_補正,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,坪単価,事業成立パターン,不足理由,推奨カフェモデル,推定席数,原価率,人件費率,利益率,想定客単価,その他固定費,月間固定費,必要月商,必要日商_26日営業,必要月間客数,必要日客数_26日営業,初期投資下限,初期投資上限,初期投資中央値,事業成立性スコア,評価点,評価ランク,評価コメント,ダッシュボード表示コメント
吉田ビル 1階,香川県高松市香川町川東上,7.7万円,34.75㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-65c9d71ddfbd573fa5601d7a/,取得済み,34.2277806,134.0376407,7.7,34.75,,77000.0,34.75,10.51,郊外,極小,不明,1階・路面想定,不明,7325.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,9,0.28,0.23,0.1,900,80000.0,157000.0,402564.0,15483.0,447.0,17.0,2627969,6307125,4467547,73,73,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 1階・路面想定 / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商402,564円、必要日客数17人が目安。"
ＡＫビル片原町Ⅱ　２階　北東 （２０１）,香川県高松市片原町,7.7万円,40.00㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-684fade320d8493430490ebe/,取得済み,34.3458826,134.0543651,7.7,40.0,,77000.0,40.0,12.1,中心街,小規模,不明,上階・地下想定,不明,6364.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,9,0.32,0.26,0.1,1300,100000.0,177000.0,553125.0,21274.0,425.0,16.0,3630000,8470000,6050000,92,92,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 上階・地下で集客難度あり / 小規模高単価モデル向き,"中心街・高単価型。必要月商553,125円、必要日客数16人が目安。"
クイーンズスクエアービル第２ 7-A,香川県高松市瓦町１丁目,7.7万円,41.50㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5a5c0b969732ec2c56db5cf7/,取得済み,34.3412277,134.051584,7.7,41.5,,77000.0,41.5,12.55,中心街,小規模,不明,不明,不明,6134.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,9,0.32,0.26,0.1,1300,100000.0,177000.0,553125.0,21274.0,425.0,16.0,3766125,8787625,6276875,100,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商553,125円、必要日客数16人が目安。"
クイ－ンズスケア第一 1階C,香川県高松市瓦町２丁目,7.7万円,22.16㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68f074cf4c8c312b4b224e88/,取得済み,34.3399504,134.0514047,7.7,22.16,,77000.0,22.16,6.7,中心街,極小,不明,1階・路面想定,不明,11487.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,0.32,0.26,0.1,1300,80000.0,157000.0,490625.0,18870.0,377.0,15.0,2011020,4692380,3351700,100,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定 / 小規模高単価モデル向き,"中心街・高単価型。必要月商490,625円、必要日客数15人が目安。"
新井ビル 200,香川県高松市成合町,7.7万円,66.54㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5bf219fbe5a69c28beb84613/,取得済み,34.2994211,134.0156685,7.7,66.54,,77000.0,66.54,20.13,不明,中規模,不明,不明,不明,3825.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,18,0.28,0.23,0.1,900,160000.0,237000.0,607692.0,23373.0,675.0,26.0,5032088,12077010,8554549,25,25,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外,"低固定費・小商圏型。必要月商607,692円、必要日客数26人が目安。"
牟礼町牟礼　倉庫 2F,香川県高松市牟礼町牟礼,7.7万円,107.05㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-665a9a1cda59646e4add9922/,取得済み,34.3493325,134.133009,7.7,107.05,,77000.0,107.05,32.38,郊外,中規模,倉庫・工場系,上階・地下想定,不明,2378.0,郊外・駐車場依存型,,郊外倉庫リノベ型カフェ,36,0.32,0.27,0.1,1100,160000.0,237000.0,764516.0,29404.0,695.0,27.0,11333919,25906101,18620010,37,37,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資は重め / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商764,516円、必要日客数27人が目安。"
香川町浅野貸店舗 1階店舗,香川県高松市香川町浅野,8万円,70.00㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-590a7804e5a69c3b10d8431f/,取得済み,34.2587691,134.0425443,8.0,70.0,,80000.0,70.0,21.18,郊外,中規模,店舗系,1階・路面想定,不明,3778.0,郊外・駐車場依存型,,郊外滞在・ランチ需要型カフェ,23,0.32,0.27,0.1,1100,160000.0,240000.0,774194.0,29777.0,704.0,27.0,6352500,15881251,11116876,28,28,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 1階・路面想定 / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商774,194円、必要日客数27人が目安。"
漆原テナント・事務所 1階,香川県高松市香川町大野,8万円,85.20㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-640d66da94d1b8330da06dcb/,取得済み,34.2664945,134.0255298,8.0,85.2,,80000.0,85.2,25.77,郊外,中規模,店舗系,1階・路面想定,不明,3104.0,郊外・駐車場依存型,,郊外滞在・ランチ需要型カフェ,28,0.32,0.27,0.1,1100,160000.0,240000.0,774194.0,29777.0,704.0,27.0,7731900,19329751,13530826,28,28,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 1階・路面想定 / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商774,194円、必要日客数27人が目安。"
高松市 香川町寺井 (空港通り駅) の貸店舗（一部）,香川県高松市香川町寺井,8.5万円,71.01㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-624cf5c1655be9215e0d7ed0/,取得済み,34.2718437,134.0304778,8.5,71.01,,85000.0,71.01,21.48,郊外,中規模,店舗系,不明,不明,3957.0,郊外・駐車場依存型,,郊外滞在・ランチ需要型カフェ,24,0.32,0.27,0.1,1100,160000.0,245000.0,790323.0,30397.0,718.0,28.0,6444158,16110394,11277276,20,20,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商790,323円、必要日客数28人が目安。"
サントピア８８ 2階部分,香川県高松市太田上町,8.8万円,100.02㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66f5eab3bb872232557dfacb/,取得済み,34.2970932,134.042515,8.8,100.02,,88000.0,100.02,30.26,準中心街,中規模,不明,上階・地下想定,不明,2909.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,23,0.32,0.26,0.1,1300,160000.0,248000.0,775000.0,29808.0,596.0,23.0,9076815,21179236,15128026,42,42,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資は重め / 飲食可否確認必要 / 上階・地下で集客難度あり,"中心街・高単価型。必要月商775,000円、必要日客数23人が目安。"
高松市 香川町寺井 (空港通り駅) の貸店舗（一部）,香川県高松市香川町寺井,8.8万円,63.44㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5af17282e5a69c474d30150d/,取得済み,34.2718437,134.0304778,8.8,63.44,,88000.0,63.44,19.19,郊外,小規模,店舗系,不明,不明,4586.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,17,0.28,0.23,0.1,900,100000.0,188000.0,482051.0,18540.0,536.0,21.0,4797650,11514360,8156005,80,80,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可 / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商482,051円、必要日客数21人が目安。"
ＹＩビル 201,香川県高松市百間町,8.8万円,33.75㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66e8d7e134b4f94bff96b221/,取得済み,34.3451724,134.0528471,8.8,33.75,,88000.0,33.75,10.21,中心街,極小,不明,不明,不明,8620.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,8,0.32,0.26,0.1,1300,80000.0,168000.0,525000.0,20192.0,404.0,16.0,3062813,7146563,5104688,75,75,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 小規模高単価モデル向き,"中心街・高単価型。必要月商525,000円、必要日客数16人が目安。"
クリエイトビル 4Ｆ,香川県高松市塩上町３丁目,9.9万円,71.77㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5ff50ad7298a4d3b7e2e7212/,取得済み,34.3388772,134.0573648,9.9,71.77,,99000.0,71.77,21.71,不明,中規模,不明,不明,不明,4560.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,20,0.28,0.23,0.1,900,160000.0,259000.0,664103.0,25542.0,738.0,28.0,5427606,13026255,9226930,25,25,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外,"低固定費・小商圏型。必要月商664,103円、必要日客数28人が目安。"
ヘンミビル 205,香川県高松市古馬場町,9.9万円,48.84㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6a0e8e5ee5469042fbdbf228/,取得済み,34.3425721,134.0518077,9.9,48.84,,99000.0,48.84,14.77,中心街,小規模,不明,不明,不明,6701.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,11,0.32,0.26,0.1,1300,100000.0,199000.0,621875.0,23918.0,478.0,18.0,4432230,10341870,7387050,75,75,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 小規模高単価モデル向き,"中心街・高単価型。必要月商621,875円、必要日客数18人が目安。"
高松市 太田上町 (太田駅) の貸店舗（一部）,香川県高松市太田上町,10万円,69.95㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-662dca5ca7349f768c4d4d6a/,取得済み,34.2970932,134.042515,10.0,69.95,,100000.0,69.95,21.16,準中心街,中規模,店舗系,不明,不明,4726.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,16,0.32,0.26,0.1,1300,160000.0,260000.0,812500.0,31250.0,625.0,24.0,6347963,14811913,10579938,50,50,C,必要月商150万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可否確認必要,"中心街・高単価型。必要月商812,500円、必要日客数24人が目安。"
高松市 塩上町 (瓦町駅) の貸店舗（一部）,香川県高松市塩上町,10万円,63.61㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-676a154920ba5422ebdb61c8/,取得済み,34.3359149,134.0508803,10.0,63.61,,100000.0,63.61,19.24,不明,小規模,店舗系,不明,不明,5197.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,17,0.28,0.23,0.1,900,100000.0,200000.0,512821.0,19724.0,570.0,22.0,4810506,11545215,8177860,60,60,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商512,821円、必要日客数22人が目安。"
ＹＩビル 2階,香川県高松市百間町,10万円,39.35㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6836b1a3edabdc2b84828858/,取得済み,34.3451724,134.0528471,10.0,39.35,,100000.0,39.35,11.9,中心街,極小,不明,上階・地下想定,不明,8401.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,9,0.32,0.26,0.1,1300,80000.0,180000.0,562500.0,21635.0,433.0,17.0,3571013,8332363,5951688,67,67,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり / 小規模高単価モデル向き,"中心街・高単価型。必要月商562,500円、必要日客数17人が目安。"
高松市 香川町川東下 の貸店舗（一部）,香川県高松市香川町川東下,11万円,103.78㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-63e5b0fba4cf3a687b612ebf/,取得済み,34.2455044,134.0300841,11.0,103.78,,110000.0,103.78,31.39,郊外,中規模,店舗系,不明,不明,3504.0,郊外・駐車場依存型,,郊外滞在・ランチ需要型カフェ,35,0.32,0.27,0.1,1100,160000.0,270000.0,870968.0,33499.0,792.0,30.0,9418035,23545088,16481562,35,35,D,必要月商150万円以下 / 必要日客数35人以下 / 初期投資は重め / 飲食可否確認必要 / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商870,968円、必要日客数30人が目安。"
高松市 郷東町 (香西駅) の貸店舗・事務所(一部),香川県高松市郷東町,11万円,132.52㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6625ffa21c76787b82940ef5/,取得済み,34.3473129,134.0147595,11.0,132.52,,110000.0,132.52,40.09,郊外,大型,店舗系,不明,不明,2744.0,郊外・駐車場依存型,,郊外滞在・ランチ需要型カフェ,44,0.32,0.27,0.1,1100,250000.0,360000.0,1161290.0,44665.0,1056.0,41.0,12026190,30065476,21045833,25,25,D,必要月商150万円以下 / 必要日客数60人以下 / 初期投資は重め / 飲食可否確認必要 / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商1,161,290円、必要日客数41人が目安。"
津田ビル １階,香川県高松市中央町,11万円,74.93㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6606881ee7d24604c2711195/,取得済み,34.3364526,134.0452022,11.0,74.93,,110000.0,74.93,22.67,準中心街,中規模,不明,1階・路面想定,不明,4853.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,17,0.32,0.26,0.1,1300,160000.0,270000.0,843750.0,32452.0,649.0,25.0,6799898,15866428,11333163,58,58,C,必要月商150万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 1階・路面想定,"中心街・高単価型。必要月商843,750円、必要日客数25人が目安。"
ソリッド 4D,香川県高松市古馬場町,11万円,42.08㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-60236530f54ec10a84ccca1f/,取得済み,34.3425721,134.0518077,11.0,42.08,,110000.0,42.08,12.73,中心街,小規模,不明,不明,不明,8642.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,10,0.32,0.26,0.1,1300,100000.0,210000.0,656250.0,25240.0,505.0,19.0,3818760,8910440,6364600,100,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商656,250円、必要日客数19人が目安。"
高松市 花ノ宮町３丁目 (栗林公園駅) の貸店舗（一部）,香川県高松市花ノ宮町３丁目,12万円,85.95㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-646306e9202916104aaa82a9/,取得済み,34.3246462,134.0457846,12.0,85.95,,120000.0,85.95,26.0,不明,中規模,店舗系,不明,不明,4615.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,23,0.28,0.23,0.1,900,160000.0,280000.0,717949.0,27613.0,798.0,31.0,6499969,15599926,11049948,60,60,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商717,949円、必要日客数31人が目安。"
富士ビル 地下１階,香川県高松市常磐町１丁目,12.1万円,93.00㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-662085d6af472b3b825c1d7d/,取得済み,34.3387776,134.0510854,12.1,93.0,,121000.0,93.0,28.13,中心街,中規模,不明,1階・路面想定,不明,4301.0,中心街・高回転型,,中心街高回転型カフェ,25,0.3,0.25,0.1,1000,160000.0,281000.0,802857.0,30879.0,803.0,31.0,8439750,19692751,14066250,58,58,C,必要月商150万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 1階・路面想定,"中心街・高回転型。必要月商802,857円、必要日客数31人が目安。"
西内町貸事務所　１階 1階,香川県高松市西内町,12.75万円,53.21㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-630eb9d1635f952635393cad/,取得済み,34.3475605,134.0469994,12.75,53.21,,127500.0,53.21,16.1,中心街,小規模,事務所系,1階・路面想定,不明,7921.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,12,0.32,0.26,0.1,1300,100000.0,227500.0,710938.0,27344.0,547.0,21.0,4828808,11267218,8048013,73,73,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 1階・路面想定 / 小規模高単価モデル向き,"中心街・高単価型。必要月商710,938円、必要日客数21人が目安。"
高松市 屋島西町 (屋島駅) の貸店舗・事務所(一部),香川県高松市屋島西町,13万円,133.70㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-555897844249423ff8c68216/,取得済み,34.3603444,134.0966033,13.0,133.7,,130000.0,133.7,40.44,郊外,大型,店舗系,不明,不明,3214.0,郊外・駐車場依存型,,郊外滞在・ランチ需要型カフェ,44,0.32,0.27,0.1,1100,250000.0,380000.0,1225806.0,47146.0,1114.0,43.0,12133275,30333189,21233232,25,25,D,必要月商150万円以下 / 必要日客数60人以下 / 初期投資は重め / 飲食可否確認必要 / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商1,225,806円、必要日客数43人が目安。"
高松市 扇町２丁目 (昭和町駅) の貸店舗（一部）,香川県高松市扇町２丁目,13.2万円,135.25㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67f20f823d177354830cb311/,取得済み,34.3445597,134.0357197,13.2,135.25,,132000.0,135.25,40.91,準中心街,大型,店舗系,不明,不明,3226.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,31,0.32,0.26,0.1,1300,250000.0,382000.0,1193750.0,45913.0,918.0,35.0,12273938,28639189,20456564,65,65,C,必要月商150万円以下 / 必要日客数35人以下 / 初期投資は重め / 飲食可,"中心街・高単価型。必要月商1,193,750円、必要日客数35人が目安。"
ＡＫビル片原町Ⅱ　２階　北西 （２０２号）,香川県高松市片原町,13.2万円,69.48㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-684a89ea243a5b1d0deb1257/,取得済み,34.3458826,134.0543651,13.2,69.48,,132000.0,69.48,21.02,中心街,中規模,不明,上階・地下想定,不明,6280.0,中心街・高回転型,,中心街高回転型カフェ,19,0.3,0.25,0.1,1000,160000.0,292000.0,834286.0,32088.0,834.0,32.0,6305310,14712391,10508850,67,67,C,必要月商150万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可 / 上階・地下で集客難度あり,"中心街・高回転型。必要月商834,286円、必要日客数32人が目安。"
高松市 天神前 (栗林公園北口駅) の貸店舗（一部）,香川県高松市天神前,14.3万円,56.00㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-642fa6da77270d5cba271843/,取得済み,34.3388334,134.045818,14.3,56.0,,143000.0,56.0,16.94,不明,小規模,店舗系,不明,不明,8442.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,15,0.28,0.23,0.1,900,100000.0,243000.0,623077.0,23964.0,692.0,27.0,4235000,10164000,7199500,70,70,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商623,077円、必要日客数27人が目安。"
西村ジョイ屋島店　１階北ＥＶ前 1階,香川県高松市屋島西町,14.971万円,45.00㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67330cb3c7b82905187c793b/,取得済み,34.3603444,134.0966033,14.971,45.0,,149710.0,45.0,13.61,郊外,小規模,不明,1階・路面想定,不明,10998.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,12,0.28,0.23,0.1,900,100000.0,249710.0,640282.0,24626.0,711.0,27.0,3403125,8167500,5785312,73,73,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 1階・路面想定 / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商640,282円、必要日客数27人が目安。"
大内ビル 1階,香川県高松市今新町,15万円,69.03㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6833f5d6c196ea30e30ea1ee/,取得済み,34.3439421,134.0526969,15.0,69.03,,150000.0,69.03,20.88,中心街,中規模,不明,1階・路面想定,不明,7183.0,中心街・高回転型,,中心街高回転型カフェ,19,0.3,0.25,0.1,1000,160000.0,310000.0,885714.0,34066.0,886.0,34.0,6264473,14617103,10440788,83,83,B,必要月商150万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可 / 1階・路面想定,"中心街・高回転型。必要月商885,714円、必要日客数34人が目安。"
高松市 上福岡町 (花園駅) の貸店舗・事務所(一部),香川県高松市上福岡町,15万円,157.80㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-682a928cd63cad3855bc8266/,取得済み,34.3302357,134.0637986,15.0,157.8,,150000.0,157.8,47.73,準中心街,大型,店舗系,不明,不明,3142.0,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,57,0.33,0.28,0.1,1150,250000.0,400000.0,1379310.0,53050.0,1199.0,46.0,14320351,35800876,25060614,10,10,D,必要月商150万円以下 / 必要日客数60人以下 / 初期投資が重い / 飲食可否確認必要 / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商1,379,310円、必要日客数46人が目安。"
高松市 鶴屋町 (片原町駅) の貸店舗（一部）,香川県高松市鶴屋町,15万円,98.59㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6a20da03cb8ef797e0780d96/,取得済み,34.3467972,134.0549327,15.0,98.59,,150000.0,98.59,29.82,不明,中規模,店舗系,不明,不明,5030.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,27,0.28,0.23,0.1,900,160000.0,310000.0,794872.0,30572.0,883.0,34.0,7455869,17894086,12674978,60,60,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商794,872円、必要日客数34人が目安。"
新井ビル 1階,香川県高松市成合町,15.07万円,98.41㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-55588e3142494231b8305814/,取得済み,34.2994211,134.0156685,15.07,98.41,,150700.0,98.41,29.77,不明,中規模,不明,1階・路面想定,不明,5062.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,27,0.28,0.23,0.1,900,160000.0,310700.0,796667.0,30641.0,885.0,34.0,7442257,17861416,12651836,33,33,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 1階・路面想定,"低固定費・小商圏型。必要月商796,667円、必要日客数34人が目安。"
高松プラザビル ６０３,香川県高松市中野町,15.2295万円,61.04㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-673ead7ac3c8d520f9d36c63/,取得済み,34.3340385,134.0434882,15.2295,61.04,,152295.0,61.04,18.46,不明,小規模,不明,不明,不明,8248.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,17,0.28,0.23,0.1,900,100000.0,252295.0,646910.0,24881.0,719.0,28.0,4616150,11078760,7847455,70,70,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商646,910円、必要日客数28人が目安。"
高松市 新北町 (昭和町駅) の貸店舗・事務所(一部),香川県高松市新北町,15.4万円,71.87㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6052fa256962487ccb19b993/,取得済み,34.3529843,134.0256404,15.4,71.87,,154000.0,71.87,21.74,不明,中規模,店舗系,不明,不明,7083.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,20,0.28,0.23,0.1,900,160000.0,314000.0,805128.0,30966.0,895.0,34.0,5435169,13044405,9239787,15,15,D,必要月商150万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外,"低固定費・小商圏型。必要月商805,128円、必要日客数34人が目安。"
プレシャス番町ビル 4F,香川県高松市番町３丁目,15.8万円,86.88㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68db7f1ba22de730730349b5/,取得済み,34.3423736,134.0417194,15.8,86.88,,158000.0,86.88,26.28,準中心街,中規模,不明,上階・地下想定,不明,6012.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,20,0.32,0.26,0.1,1300,160000.0,318000.0,993750.0,38221.0,764.0,29.0,7884360,18396841,13140600,42,42,D,必要月商150万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり,"中心街・高単価型。必要月商993,750円、必要日客数29人が目安。"
ツゥーフィートビル 5-B,香川県高松市鍛冶屋町,16.5万円,61.62㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-682a97c00113b83abe1a03d1/,取得済み,34.3428604,134.0487343,16.5,61.62,,165000.0,61.62,18.64,中心街,小規模,不明,不明,不明,8852.0,中心街・高回転型,,中心街高回転型カフェ,17,0.3,0.25,0.1,1000,100000.0,265000.0,757143.0,29121.0,757.0,29.0,5592015,13048035,9320025,85,85,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可,"中心街・高回転型。必要月商757,143円、必要日客数29人が目安。"
京都興産ビル ５F,香川県高松市瓦町１丁目,16.5万円,116.86㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5b433431e5a69c481006210e/,取得済み,34.3412277,134.051584,16.5,116.86,,165000.0,116.86,35.35,中心街,大型,不明,不明,不明,4668.0,中心街・高回転型,,中心街高回転型カフェ,32,0.3,0.25,0.1,1000,250000.0,415000.0,1185714.0,45604.0,1186.0,46.0,10605045,24745106,17675076,55,55,C,必要月商150万円以下 / 必要日客数60人以下 / 初期投資は重め / 飲食可,"中心街・高回転型。必要月商1,185,714円、必要日客数46人が目安。"
下田井町貸店舗事務所 1階,香川県高松市下田井町,16.5万円,105.56㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68f1b59cc430a27e9e0ec70f/,取得済み,34.293847,134.0928756,16.5,105.56,,165000.0,105.56,31.93,不明,中規模,店舗系,1階・路面想定,不明,5167.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,29,0.28,0.23,0.1,900,160000.0,325000.0,833333.0,32051.0,926.0,36.0,7982975,19159141,13571058,73,73,B,必要月商150万円以下 / 必要日客数60人以下 / 初期投資1500万円以下 / 飲食可 / 1階・路面想定,"低固定費・小商圏型。必要月商833,333円、必要日客数36人が目安。"
