物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値,家賃_円,面積_㎡_補正,坪数_補正,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,坪単価,事業成立パターン,不足理由,推奨カフェモデル,推定席数,原価率,人件費率,利益率,想定客単価,その他固定費,月間固定費,必要月商,必要日商_26日営業,必要月間客数,必要日客数_26日営業,初期投資下限,初期投資上限,初期投資中央値,事業成立性スコア,評価点,評価ランク,評価コメント,ダッシュボード表示コメント
二ツ橋ビル201,香川県高松市上之町1丁目-13-18,,46.77m 2 (14.15坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002627,取得済み,34.3209651,134.0447038,,46.77,,,46.77,14.15,準中心街,小規模,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,14,0.3,0.25,0.1,1000,,,,,,,4245000,9905000,7075000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
二ツ橋ビル202,香川県高松市上之町1丁目-13-18,,28.88m 2 (8.74坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002629,取得済み,34.3209651,134.0447038,,28.88,,,28.88,8.74,準中心街,極小,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,9,0.3,0.25,0.1,1000,,,,,,,2622000,6118000,4370000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
新田借地【新田町】,香川県高松市新田町甲-573-6,,830m 2 (251.08坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002633,未取得,,,,830.0,,,830.0,251.08,中心街,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,251,0.3,0.25,0.1,1000,,,,,,,75324000,175756000,125540000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ウッドネスト香西テナント101号室【香西北町】,香川県高松市香西北町79-10,,60.04m 2 (18.16坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002600,未取得,,,,60.04,,,60.04,18.16,郊外,小規模,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,18,0.3,0.25,0.1,1000,,,,,,,5448000,12712000,9080000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
one apartment店舗102号【新北町】,香川県高松市新北町-13-11,,52m 2 (15.73坪）,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002602,取得済み,34.3529843,134.0256404,,52.0,,,52.0,15.73,不明,小規模,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,16,0.3,0.25,0.1,1000,,,,,,,4719000,11011000,7865000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ＧＭ戸建【飯田町】,香川県高松市飯田町-18-1,,196.70m 2 (59.50坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002609,取得済み,34.3202048,134.0043584,,196.7,,,196.7,59.5,中心街,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,60,0.3,0.25,0.1,1000,,,,,,,17850000,41650000,29750000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ＳＫ店舗【屋島西町】,香川県高松市屋島西町-1483-1,,108.57m 2 (32.84坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002611,取得済み,34.3603444,134.0966033,,108.57,,,108.57,32.84,郊外,中規模,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,33,0.3,0.25,0.1,1000,,,,,,,9852000,22988000,16420000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
チェリータウン103【桜町】テナント,香川県高松市桜町2-15-46,,48.58m 2 (14.70坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002594,未取得,,,,48.58,,,48.58,14.7,準中心街,小規模,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,15,0.3,0.25,0.1,1000,,,,,,,4410000,10290000,7350000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ＳＺ店舗1棟貸【国分寺町福家】,香川県高松市国分寺町福家-3871-8,,130.53m 2 (39.49坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002574,取得済み,34.2790659,133.972223,,130.53,,,130.53,39.49,郊外,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,39,0.3,0.25,0.1,1000,,,,,,,11847000,27643000,19745000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,,109.81m 2 (33.22坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002560,取得済み,34.3387776,134.0510854,,109.81,,,109.81,33.22,不明,中規模,店舗系,1階・路面想定,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,33,0.3,0.25,0.1,1000,,,,,,,9966000,23254000,16610000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
