store_name,detail_html,google_maps_url,saved_at
珈琲と本と音楽 半空,data\html\google_maps\details\20260625_033321_珈琲と本と音楽_半空.html,"https://www.google.com/maps/place/%E7%8F%88%E7%90%B2%E3%81%A8%E6%9C%AC%E3%81%A8%E9%9F%B3%E6%A5%BD+%E5%8D%8A%E7%A9%BA/@34.3462469,133.9695784,13z/data=!3m1!5s0x3553eb9afee22cc3:0xbe5d0d4784136aae!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb9afedd225d:0xc2544993b88f2663!8m2!3d34.3413035!4d134.0506567!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU4xZFdSZlFUSjNSUkFC4AEA-gEECA8QIg!16s%2Fg%2F1hc1kz2q6?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:33:23
喫茶猫も杓子も,data\html\google_maps\details\20260625_033345_喫茶猫も杓子も.html,"https://www.google.com/maps/place/%E5%96%AB%E8%8C%B6%E7%8C%AB%E3%82%82%E6%9D%93%E5%AD%90%E3%82%82/@34.3365402,134.0306375,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x355393d40df7b253:0x66ca0372da58f4b8!8m2!3d34.3365402!4d134.1068552!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuVFVOSk5scHVlbXAzUlJBQuABAPoBBAgqECQ!16s%2Fg%2F11m6z48tr4?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:33:47
まちのシューレ963,data\html\google_maps\details\20260625_033358_まちのシューレ963.html,"https://www.google.com/maps/place/%E3%81%BE%E3%81%A1%E3%81%AE%E3%82%B7%E3%83%A5%E3%83%BC%E3%83%AC963/@34.3445561,133.9742025,13z/data=!3m1!5s0x3553eb85222cff61:0x50ddbd7bcc986669!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb852180b80d:0x63da8b725053de6c!8m2!3d34.3445561!4d134.0504202!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVVIzZWt4SU16Vm5SUkFC4AEA-gEECAAQGg!16s%2Fg%2F1v44bsq2?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:34:00
Tea Room柞の杜,data\html\google_maps\details\20260625_033415_Tea_Room柞の杜.html,"https://www.google.com/maps/place/Tea+Room%E6%9F%9E%E3%81%AE%E6%9D%9C/@34.3445561,133.9742025,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb857f347033:0xd7ef0c2c2f4f4200!8m2!3d34.3464351!4d134.0487278!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQl0ZWFfaG91c2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXlPVTl1VjFSbkVBReABAPoBBAgAECI!16s%2Fg%2F1tczybd0?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:34:17
ノーマ カフェ 夜カフェ,data\html\google_maps\details\20260625_033433_ノーマ_カフェ_夜カフェ.html,"https://www.google.com/maps/place/%E3%83%8E%E3%83%BC%E3%83%9E+%E3%82%AB%E3%83%95%E3%82%A7+%E5%A4%9C%E3%82%AB%E3%83%95%E3%82%A7/@34.3445561,133.9742025,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb9b51256031:0x2fab0c16fadb5051!8m2!3d34.3419704!4d134.0526881!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5TYkhGaWJFRlJFQUXgAQD6AQQIABAf!16s%2Fg%2F11c3k2ynm5?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:34:35
珈琲美人 文月,data\html\google_maps\details\20260625_033500_珈琲美人_文月.html,"https://www.google.com/maps/place/%E7%8F%88%E7%90%B2%E7%BE%8E%E4%BA%BA+%E6%96%87%E6%9C%88/@34.3445561,133.9742025,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb10b84678af:0x3688b0e9c41d9766!8m2!3d34.3169542!4d134.0715329!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSd2QweFFWRXBSRUFF4AEA-gEECEIQFw!16s%2Fg%2F1tdycg58?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:35:02
パラティッシ,data\html\google_maps\details\20260625_033515_パラティッシ.html,"https://www.google.com/maps/place/%E3%83%91%E3%83%A9%E3%83%86%E3%82%A3%E3%83%83%E3%82%B7/@34.3445561,133.9742025,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eaf31553bc1f:0x1fc27b52907589a!8m2!3d34.2936878!4d134.0639561!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSbE5ISXlaRVJSRUFF4AEA-gEECFcQJg!16s%2Fg%2F11gb3ywzh1?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:35:17
むさしの森珈琲 高松レインボーロード店,data\html\google_maps\details\20260625_033528_むさしの森珈琲_高松レインボーロード店.html,"https://www.google.com/maps/place/%E3%82%80%E3%81%95%E3%81%97%E3%81%AE%E6%A3%AE%E7%8F%88%E7%90%B2+%E9%AB%98%E6%9D%BE%E3%83%AC%E3%82%A4%E3%83%B3%E3%83%9C%E3%83%BC%E3%83%AD%E3%83%BC%E3%83%89%E5%BA%97/@34.3445561,133.9742025,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eafe53c55555:0x6866358d4123cb81!8m2!3d34.3101105!4d134.0606332!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5vTFRnMmRuRjNSUkFC4AEA-gEECAwQJg!16s%2Fg%2F11d_8b_414?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:35:30
Chord Coffee,data\html\google_maps\details\20260625_033544_Chord_Coffee.html,"https://www.google.com/maps/place/Chord+Coffee/@34.3445561,133.9742025,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553ebe499e1e76b:0x6576e6758aa4beb6!8m2!3d34.3265223!4d134.0600578!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRdGNHTXlSV1ZSRUFF4AEA-gEECAAQHA!16s%2Fg%2F11j0vhld16?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:35:46
喫茶 ひまわり,data\html\google_maps\details\20260625_033600_喫茶_ひまわり.html,"https://www.google.com/maps/place/%E5%96%AB%E8%8C%B6+%E3%81%B2%E3%81%BE%E3%82%8F%E3%82%8A/@34.3445561,133.9742025,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553ebbc4cad0d93:0x4e7451f06fd3fe5b!8m2!3d34.3346245!4d134.0452511!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0b2VsVjZXbnBWTTNCVVQxVTRNVlZyVG0xV2JHeHlaVVpHZDFrd1JSQULgAQD6AQQIEBAQ!16s%2Fg%2F1hbpwpdz4?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:36:02
